6.548000	7.058000	Kh
7.058000	7.586000	Kh
9.276000	9.759000	Kh
9.822000	10.833000	Kh
11.969000	13.123000	K
13.123000	13.874000	H
15.252000	15.780000	Kh
15.780000	16.227000	Kh
18.472000	19.563000	Kh
20.690000	21.871000	K
22.918000	23.956000	K
23.956000	25.038000	Kh
25.092000	26.612000	H
30.548000	31.318000	Kh
31.649000	33.760000	K
33.849000	35.146000	H
39.198000	39.986000	Kh
40.236000	41.479000	H
41.479000	42.517000	K
45.818000	48.841000	Me
49.074000	50.192000	H
50.192000	51.248000	K
55.103000	57.805000	Me
58.914000	59.898000	Kh
61.597000	63.208000	K
62.080000	63.208000	Kh
63.297000	64.335000	K
64.335000	65.533000	K
