4.580000	15.601000	H 
17.032000	24.618000	Sa
25.906000	29.341000	K
29.341000	33.921000	H
35.209000	38.214000	Sa
40.361000	45.943000	H
47.124000	48.806000	Kh
49.879000	51.525000	Kh
51.811000	53.815000	Sa
52.348000	53.815000	H
55.032000	57.035000	K
57.035000	61.257000	H
63.190000	67.161000	H
65.444000	67.161000	Sa
67.161000	70.274000	H
70.811000	73.602000	K
73.745000	76.643000	H
76.643000	77.788000	Sa
79.327000	81.152000	K
81.545000	85.302000	H
81.545000	85.302000	An
85.302000	89.131000	H
90.849000	94.140000	K
94.498000	97.504000	H
97.253000	100.510000	Sa
100.903000	101.556000	Kh
102.263000	105.197000	H
104.732000	108.185000	Kh 
104.732000	108.185000	K
104.732000	105.626000	Sa
108.185000	112.031000	H
108.990000	112.031000	Sa 
112.917000	113.793000	Kh
114.894000	118.543000	An 
114.894000	118.543000	Sa
118.830000	124.662000	H
123.946000	127.739000	Sa
123.946000	127.739000	H
127.739000	131.890000	H
128.991000	131.890000	Sa
133.607000	134.323000	Kh
134.359000	135.146000	H
135.173000	136.599000	Sa  
135.173000	136.599000	H
137.006000	141.050000	H
142.427000	144.780000	An
142.427000	144.780000	Sa
142.490000	144.780000	H 
145.156000	147.651000	H
147.016000	148.769000	Sa
147.651000	148.850000	H
149.816000	150.746000	K 
153.430000	155.738000	K
157.080000	161.033000	Sa
157.080000	161.033000	H
161.499000	163.592000	K
164.164000	169.532000	H
